Date,Response,Count
2024-01-31,Product A,7
2024-01-31,Product B,8
2024-01-31,Product C,16
2024-02-29,Product A,6
2024-02-29,Product B,13
2024-02-29,Product C,10
2024-03-31,Product A,12
2024-03-31,Product B,12
2024-03-31,Product C,7
2024-04-30,Product A,15
2024-04-30,Product B,8
2024-04-30,Product C,7
2024-05-31,Product A,12
2024-05-31,Product B,14
2024-05-31,Product C,5
2024-06-30,Product A,13
2024-06-30,Product B,10
2024-06-30,Product C,7
2024-07-31,Product A,13
2024-07-31,Product B,12
2024-07-31,Product C,6
2024-08-31,Product A,8
2024-08-31,Product B,11
2024-08-31,Product C,12
2024-09-30,Product A,9
2024-09-30,Product B,10
2024-09-30,Product C,11
2024-10-31,Product A,7
2024-10-31,Product B,13
2024-10-31,Product C,11
2024-11-30,Product A,7
2024-11-30,Product B,13
2024-11-30,Product C,10
2024-12-31,Product A,10
2024-12-31,Product B,15
2024-12-31,Product C,6
2025-01-31,Product A,16
2025-01-31,Product B,8
2025-01-31,Product C,7
2025-02-28,Product A,9
2025-02-28,Product B,11
2025-02-28,Product C,8
2025-03-31,Product A,13
2025-03-31,Product B,11
2025-03-31,Product C,7
2025-04-30,Product A,12
2025-04-30,Product B,12
2025-04-30,Product C,6
2025-05-31,Product A,4
2025-05-31,Product B,4
2025-05-31,Product C,6
